Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,tavg,C_value,CV_C_value,Phylo_Dist_Root,Phylo_Branch_Len,Salinity_Tol
Pisonia,Nyctaginaceae,Caryophyllales,0.0,0.0,1.0,1.0,0.005063291,0.0,0.9841325564285818,0.7694294731480881,1.0,3.0,0.6304592000547441,1.19,,21.0,1.0,20.0
Pistacia,Anacardiaceae,Sapindales,16.66666667,0.25,1.0,1.0,0.002030457,0.0,1.0,0.5,0.5,1.0,0.6304592000547441,0.616666667,9.22093087,20.0,1.0,0.0
Pistia,Araceae,Alismatales,0.0,0.0,1.0,0.0,0.000248447,0.0,1.0,0.2,1.0,3.0,0.6304592000547441,0.295,0.0,14.0,1.0,0.0
Pistorinia,Crassulaceae,Saxifragales,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.50595238075,0.91666666675,0.5,0.728,1.011838383666667,,15.0,1.0,0.0
Pittosporum,Pittosporaceae,Apiales,2.333333333,0.28,1.0,1.0,0.005,0.0,0.9841325564285818,1.0,1.0,2.21875,0.6304592000547441,0.535,19.82542377,22.0,1.0,0.0
Pityrogramma,Pteridaceae,Monilophyta,100.0,0.5,1.0,0.0,0.0,0.2876006946967245,1.0,1.0,1.0,3.8333333335,0.6304592000547441,5.97,,13.0,1.0,0.0
Plagiobothrys,Boraginaceae,Boraginales,0.0,0.0,0.057692308,0.0,0.001824818,0.0,1.0,0.8851851851666667,0.9736842105263158,2.9123376622857142,0.7039500000000001,1.4171923077000002,,24.0,1.0,4.878048780487805
Plantago,Plantaginaceae,Lamiales,0.131967086,0.074561404,0.595284872,0.021929825,0.005925926,1.0,1.0,0.944444444,0.35,2.0,0.576,1.101212121,41.18528627,28.0,1.0,100.0
Platanthera,Orchidaceae,Asparagales,1.333333333,0.16,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.125,0.6304592000547441,8.895,16.65690819,22.0,1.0,0.0
Platycapnos,Papaveraceae,Ranunculales,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.9583333333333334,1.0,2.3942552466726874,0.23,1.1532142857142855,,12.0,1.0,6.666666666666667
Platycerium,Polypodiaceae,Monilophyta,0.0,0.0,1.0,0.0,0.0,0.2876006946967245,1.0,0.5,1.0,2.3,0.6304592000547441,14.15444444,,17.0,1.0,0.0
Platydesma,Rutaceae,Sapindales,0.0,0.0,1.0,1.0,0.001652893,0.0,1.0,1.0,1.0,3.0,0.6304592000547441,1.880867816,,19.0,1.0,0.0
Platylobium,Fabaceae,Fabales,0.0,0.0,1.0,0.75,0.096494845,0.7719298245789473,1.0,0.9291558728928572,1.0,2.075313283157895,0.5700679541176471,1.6492406904042554,,21.0,1.0,19.801980198019802
Platysace,Apiaceae,Apiales,0.0,0.0,1.0,0.333333333,0.003968254,0.0,1.0,0.8953401360571428,0.9996012759210526,3.3888888888333333,0.925,2.5124782609130434,,22.0,1.0,11.764705882352942
Plectranthus,Lamiaceae,Lamiales,0.0,0.0,1.0,0.2,0.004320557,1.0,1.0,0.7129528985652174,0.9986772486666666,2.0,0.664,1.73,,30.0,1.0,2.127659574468085
Pleioblastus,Poaceae,Poales,0.0,0.0,1.0,1.0,0.074314214,1.0,0.9609953703833334,0.7215099227419354,0.034680304047619,1.7807017544210528,0.4968928571428571,4.6528267402125,,20.0,1.0,22.36842105263158
Pleomele,Asparagaceae,Asparagales,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.496428571375,1.0,2.6,0.956,9.27415334995238,,17.0,1.0,3.0303030303030303
Pleuraphis,Poaceae,Poales,0.0,0.0,1.0,0.0,0.074314214,1.0,0.9609953703833334,0.7215099227419354,0.034680304047619,1.7807017544210528,0.4968928571428571,4.6528267402125,,17.0,1.0,22.36842105263158
Pleuropogon,Poaceae,Poales,0.0,0.0,0.166666667,0.0,0.074314214,1.0,0.9609953703833334,0.7215099227419354,0.034680304047619,1.7807017544210528,0.4968928571428571,4.6528267402125,,17.0,1.0,22.36842105263158
Pleurospermum,Apiaceae,Apiales,0.0,0.0,0.5,0.0,0.003968254,0.0,1.0,1.0,1.0,3.3888888888333333,0.925,2.5124782609130434,,33.0,1.0,11.764705882352942
Pluchea,Asteraceae,Asterales,2.222222222,0.1,0.6,0.4,0.00210989,0.0,0.9667911996712328,0.761325295527027,0.9507266543025208,3.5,0.6654010416875,3.3862005286025645,,31.0,1.0,100.0
Pneumatopteris,Thelypteridaceae,Monilophyta,0.0,0.0,1.0,0.0,0.0,0.2876006946967245,0.5,0.5,0.8173756359705927,2.4833333335,0.6304592000547441,6.6225000000000005,,15.0,1.0,0.0
Poa,Poaceae,Poales,0.116245278,0.107526882,0.9,0.0,0.074314214,1.0,0.805555556,0.526315789,0.0,0.0,0.4968928571428571,3.399130435,77.20493915,30.0,1.0,100.0
Podolepis,Asteraceae,Asterales,0.0,0.0,0.666666667,0.0,0.00210989,0.015625,0.9667911996712328,0.761325295527027,1.0,2.58694816475,0.6654010416875,3.3862005286025645,,37.0,1.0,7.835820895522388
Podolobium,Fabaceae,Fabales,0.0,0.0,1.0,1.0,0.096494845,0.7719298245789473,1.0,0.9291558728928572,1.0,2.075313283157895,0.5700679541176471,1.6492406904042554,,26.0,1.0,19.801980198019802
Pogogyne,Lamiaceae,Lamiales,0.0,0.0,0.0,0.0,0.004320557,0.958333333375,1.0,0.7129528985652174,0.9986772486666666,1.5795454545454546,0.664,1.1319000933529413,,37.0,1.0,2.127659574468085
Polanisia,Cleomaceae,Brassicales,0.0,0.0,0.0,0.0,0.006666667,0.875,0.9841325564285818,0.7694294731480881,1.0,0.0,0.6304592000547441,0.31,,19.0,1.0,33.333333333333336
Polemonium,Polemoniaceae,Ericales,0.0,0.0,0.916666667,0.0,0.0,0.2876006946967245,1.0,1.0,1.0,2.3942552466726874,0.4076666666666666,1.7000000000000002,,23.0,1.0,0.0
Polycarpon,Caryophyllaceae,Caryophyllales,0.0,0.0,0.25,0.0,0.001818182,0.0,1.0,1.0,0.5,3.240740740777778,0.5151666666666667,1.21415601275,,19.0,1.0,13.793103448275861
Polycnemum,Amaranthaceae,Caryophyllales,0.0,0.0,0.0,0.0,0.041463415,0.0,1.0,1.0,1.0,2.448412698428572,0.199,1.3453542688666666,,19.0,1.0,47.72727272727273
Polyctenium,Brassicaceae,Brassicales,0.0,0.0,1.0,0.0,0.00485306,0.0,0.998958333325,0.90956349205,0.9974160206744186,2.9222222222222225,0.4929733334,0.8330963370185186,,29.0,1.0,8.045977011494253
Polygala,Polygalaceae,Fabales,0.090456807,0.029850746,0.892857143,0.171641791,0.001913876,1.0,1.0,0.875,1.0,3.5,0.6304592000547441,0.671111111,59.60355442,16.0,1.0,0.0
Polygonatum,Asparagaceae,Asparagales,3.636363636,0.181818182,1.0,0.0,0.0,0.0,1.0,0.5,1.0,2.9,0.956,12.98875,57.05023578,23.0,1.0,3.0303030303030303
Polygonum,Polygonaceae,Caryophyllales,0.02920774,0.024096386,0.33984375,0.03125,0.002727273,0.0,1.0,1.0,1.0,4.0,0.8,0.72,26.46188734,20.0,1.0,100.0
Polymnia,Asteraceae,Asterales,0.0,0.0,1.0,0.0,0.00210989,0.015625,0.9667911996712328,0.761325295527027,0.9507266543025208,2.58694816475,0.6654010416875,3.3862005286025645,,36.0,1.0,7.835820895522388
Polypodium,Polypodiaceae,Monilophyta,6.666666667,0.5,1.0,0.0,0.0,0.2876006946967245,1.0,0.5,1.0,1.6,0.6304592000547441,14.15444444,27.11387166,17.0,1.0,0.0
Polypogon,Poaceae,Poales,1.960784314,0.166666667,0.526315789,0.0,0.074314214,1.0,1.0,1.0,0.0,1.7807017544210528,0.4968928571428571,4.6528267402125,,37.0,1.0,100.0
Polyscias,Araliaceae,Apiales,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,3.045454545,0.6304592000547441,1.8086842105,,21.0,1.0,0.0
